#{"t_start": 1776588636.8938797, "env_id": "None"}
r,l,t
-211.923394,262,0.080996
-667.694993,129,0.109996
-134.007939,139,0.142996
-738.991472,109,0.170998
-1403.554402,312,0.246998
-687.79608,182,0.284999
-413.483307,128,0.311997
-907.551715,157,0.344996
-1456.622746,269,0.402002
339.647883,174,0.437997
-569.190928,82,0.457998
-1211.123371,154,0.491
-796.530314,225,0.539997
-917.115087,306,0.603998
-457.511084,136,0.632998
-128.951941,206,0.675997
-388.240905,182,0.713998
-575.163209,161,0.748997
64.019598,170,0.783997
-827.20179,101,0.805998
-1773.855932,244,0.858999
-1036.521198,199,0.900997
-1141.581089,230,0.949997
-54.87448,303,1.012997
-767.915937,131,1.039997
-479.386715,82,1.056997
-494.141739,171,1.091998
-396.323512,102,1.113998
-730.338552,165,1.150997
-946.734164,197,1.191998
-885.465491,159,1.228997
-574.587352,95,1.248997
-360.754558,180,1.286998
-645.209564,104,1.308998
-407.58123,120,1.333997
-535.332682,165,1.367997
-295.697406,95,1.386998
-565.580194,99,1.407997
-815.891163,443,1.500998
-102.544927,233,1.553998
18.697198,168,1.590997
-1626.777379,343,1.664998
-385.672764,139,1.693997
-878.67876,264,1.749997
-398.779535,100,1.772
-857.138529,163,1.809
-513.157024,77,1.826998
-307.450628,171,1.862997
-246.072246,144,1.892998
-1036.262092,247,1.947998
-129.38799,179,1.986998
-725.163782,181,2.023997
-767.675968,141,2.054998
-141.87484,97,2.077997
-1147.037718,243,2.131998
382.617093,167,2.166997
-5.716097,102,4.214997
-303.706851,101,4.981
-696.227638,311,7.354997
-54.547773,170,8.642998
-607.892437,120,9.570998
-90.466871,124,10.496997
-539.650476,110,11.279003
-709.863545,347,13.760998
-59.183258,491,17.300997
-335.880034,112,18.108997
-350.416593,157,19.281997
-474.826612,128,20.215997
31.089991,102,20.973999
274.19298,177,22.309998
35.548901,90,22.967997
-482.873254,140,24.005997
-882.948585,302,26.232997
-463.528694,252,28.118001
-504.231766,131,29.128999
-1568.82166,271,31.227001
54.056204,173,32.556997
-169.31414,108,33.384001
-318.464184,148,34.470031
-938.082959,258,36.35203
-751.709431,130,37.29703
-1089.032222,297,39.469031
-56.098672,182,40.81203
-852.465613,132,41.766032
-256.287276,95,42.43703
-378.154638,127,43.35903
-816.630703,212,44.88403
-230.872403,111,45.66103
-743.380325,151,46.72403
-566.437832,103,47.44103
-648.678844,154,48.51703
-526.476553,113,49.30503
-785.182359,171,50.535031
-51.520279,119,51.40503
-632.395898,138,52.44503
-1060.281067,321,54.85003
304.800402,178,56.19303
-549.330565,138,57.17103
133.012587,156,58.28903
-711.872896,212,59.82203
2.09993,152,60.92503
-604.767309,166,62.14503
-262.664689,112,62.990031
-275.130957,146,64.08803
-372.561265,98,64.825031
-802.551987,171,66.120031
-160.969021,112,66.95503
-184.732607,119,67.84703
360.503291,111,68.65503
334.466938,187,70.02303
110.303086,195,71.45103
-440.648147,168,72.68003
-713.54189,136,73.71503
-414.152501,138,74.79003
-300.47839,107,75.62203
-200.180769,125,76.59803
-513.212669,116,77.48703
-459.064724,105,78.854031
-1103.418235,237,80.55103
-356.286466,99,81.25403
-567.380688,107,82.01603
-586.431941,180,83.294031
-479.471103,135,84.23803
-436.272498,179,85.532032
-552.628333,251,87.36003
-268.57143,159,88.53303
-925.866212,342,90.98503
-620.37336,132,91.91203
-276.206497,244,93.63103
-810.452502,182,94.91303
-708.451814,88,95.53203
-724.905771,134,96.55603
-606.564143,159,97.781031
-160.519737,83,98.42003
-224.543782,108,99.24603
-155.417492,156,100.44203
-446.250139,172,101.762031
-795.74325,215,103.33503
-548.118742,140,104.364032
-224.936339,186,105.71903
-371.053579,127,106.64603
-260.892821,181,107.98203
-799.746175,232,109.714031
-386.018041,161,110.926032
87.975136,204,112.45803
-733.503721,105,113.24803
-124.101801,188,114.63103
503.906368,204,116.092031
-486.683169,206,117.537031
-734.270815,147,118.57003
-393.314507,189,119.973031
-802.978258,227,121.66003
652.820541,475,125.16103
-297.479281,155,126.25503
-872.167048,184,127.55756
-124.251106,128,128.46156
-1635.538091,336,130.84856
-765.839344,164,132.02256
-983.001529,262,133.953562
-333.148806,124,134.89656
-466.911288,344,137.448561
-803.545614,204,138.94256
-504.648532,214,140.509559
311.565546,441,143.888178
-160.271864,145,145.024244
-605.558494,154,146.230316
-702.206516,231,148.025993
-584.24972,287,150.095993
-98.269487,185,151.431993
-635.618326,147,152.814993
56.718231,157,153.952993
-827.494297,172,155.207994
-766.186344,162,156.395993
-287.606955,185,157.733993
-376.404962,155,158.882993
-594.589861,144,159.893993
-1121.245625,279,161.849995
301.903786,209,163.320993
-1956.060311,292,165.464993
53.304415,142,166.526993
-131.964195,162,167.767993
-641.58153,171,169.077993
-789.559424,141,170.176993
-359.338609,151,171.273993
-366.50231,144,172.330993
-253.888696,102,173.073995
-927.729038,153,174.191993
-725.231984,236,175.912993
-373.066754,133,176.915995
-459.91013,175,178.248993
-569.107133,241,180.055993
-427.275613,96,180.777993
-392.366219,149,181.893994
282.616347,132,182.862993
-703.859118,197,184.305551
-247.455531,180,185.632551
161.233826,121,186.524552
-748.832554,147,187.609551
-503.149109,114,188.488557
-430.293623,198,190.025551
-375.160385,165,191.271551
-551.47029,192,192.722551
-570.481047,225,194.331551
-373.762635,169,195.521551
-505.574543,104,196.257551
-467.953663,332,198.602551
-671.04035,194,199.999551
-173.183784,137,200.990551
109.908012,221,202.571553
-463.688501,147,203.610551
-617.926689,197,204.993551
-178.892838,247,206.720551
-237.088857,148,207.759552
257.43711,141,208.773551
-33.303939,174,210.052552
-891.887195,195,211.583551
-564.126818,213,213.252616
-629.649321,134,214.294616
-676.633991,203,215.884616
-497.059783,82,216.521616
902.119309,176,217.801617
-947.409998,212,219.344616
-176.58566,133,220.310616
-457.751009,134,221.285616
-932.175258,212,222.882616
-482.454543,111,223.721617
-404.157088,131,224.720617
-154.808153,129,225.689616
-400.140262,178,227.567616
-444.907551,116,228.414616
202.872285,211,229.903616
-639.888566,106,230.653616
-207.585159,144,231.674617
45.992545,154,232.761616
76.823002,131,233.743618
90.766601,267,235.801773
-420.032881,85,236.454772
-281.691769,119,237.376772
-412.332904,184,238.811772
-1377.112623,302,241.005772
-235.833112,95,241.683774
-1288.056653,365,244.286772
-856.969794,218,245.897773
-474.557331,197,247.356772
-274.090699,184,248.731772
-326.943879,58,249.166772
-211.371695,112,250.003772
-274.421846,75,250.564772
-117.332643,203,252.060772
-388.630095,72,252.593772
-1392.914845,423,255.719772
-1092.776326,240,257.548772
-913.028536,220,259.248774
-122.660558,163,260.506772
-500.974267,150,261.673772
-423.56253,113,262.541772
-516.230366,150,263.634772
-1.373095,158,264.793772
-563.122271,128,265.731774
-804.30638,237,267.434772
-53.673768,108,268.201772
137.817315,156,269.313772
-770.289313,454,272.552772
-920.422807,242,274.255777
-695.408696,173,275.471772
-804.529236,136,276.428772
21.249586,142,277.419774
-414.543655,114,278.221772
-409.452295,116,279.040772
-100.689309,110,279.873772
-363.5666,75,280.431772
-1183.959509,243,282.232772
-996.548943,234,283.984772
-569.23604,198,285.475772
-1130.194023,186,286.825772
-225.953016,85,287.440774
-415.668793,112,288.243772
-1219.232754,231,289.922772
67.294465,326,292.390772
-82.563721,189,293.816772
-854.511887,236,295.618774
-53.73735,136,296.630773
808.996302,190,298.010773
-411.79138,223,299.638773
-347.743541,158,301.267772
87.203994,160,302.498772
-277.697937,214,304.155772
-1293.414795,325,306.675772
886.275582,243,308.506772
1.935924,141,309.508773
-385.673855,350,312.001772
-1759.672686,486,315.548772
-646.558981,199,317.002772
-697.825004,187,318.386772
346.775581,194,319.775772
-817.26065,186,321.076773
-454.5778,247,322.831774
-881.339649,259,324.633773
-781.448884,163,325.767773
-70.053797,166,326.952773
20.477244,105,327.736772
-711.529085,252,329.597772
-32.729142,154,330.712772
-210.728496,94,331.382773
-227.582818,171,332.583772
-40.654551,181,333.853772
-76.554576,178,335.114773
-523.684997,159,336.244774
-526.836644,114,337.064772
-376.189569,103,337.805722
-1103.218629,308,340.058722
-447.59094,263,342.006721
-761.975568,141,343.018723
-152.902979,162,344.157722
-313.430065,140,345.142721
-363.053701,114,345.944721
-111.902635,105,346.705722
656.303043,301,348.982721
-735.184287,183,350.389723
-344.854839,82,351.005722
-69.688798,82,351.621722
-485.992157,104,352.391723
-169.337539,99,353.101722
-409.579473,91,353.748722
-262.805072,135,354.714724
-486.201141,83,355.306721
-721.457572,277,357.278721
11.595794,122,358.146721
-310.687831,82,358.736722
-378.731817,188,360.071721
-485.07409,158,361.278721
0.196179,108,362.103721
-130.164912,127,363.049722
-188.876664,162,364.266726
-315.471961,103,365.025722
-591.183991,142,366.069722
-321.05232,117,366.927722
-163.360417,119,367.799722
-483.059182,126,368.723721
-577.210057,163,369.972723
-432.236915,128,370.971722
-254.706319,98,371.740722
-321.977783,106,372.562721
-101.078908,143,374.616722
-397.607988,121,375.527722
-577.781853,223,377.152722
-531.380262,134,378.118722
-1120.138784,276,380.123721
-484.395564,136,381.128723
-745.211903,124,382.032722
-75.507931,170,383.27028
783.611332,138,384.285283
-145.701849,120,385.17728
198.223254,141,386.208288
-564.312015,130,387.12728
-198.378349,245,388.86328
-221.665156,161,390.00228
-489.060562,153,391.08028
95.490616,318,393.47328
9.921717,127,394.37728
-842.187914,136,395.40228
-208.282246,125,396.356281
-2208.586335,341,398.875281
348.557347,198,400.29128
-147.700901,281,402.350282
-85.827257,149,403.45528
-88.082664,203,404.95128
