#{"t_start": 1776592310.176137, "env_id": "None"}
r,l,t
-797.198567,125,0.039999
-770.851249,232,0.084
-961.667698,189,0.118999
-161.722953,108,0.139001
-1149.167384,190,0.175998
-657.412172,179,0.209999
-572.225151,92,0.227001
-683.901922,129,0.25
-731.407188,120,0.272003
-1031.854759,133,0.296003
-403.437334,172,0.329002
-845.856104,145,0.353999
-74.941446,201,0.388
-63.76951,226,0.426
-980.175262,274,0.472999
-762.776321,207,0.506999
-488.147097,119,0.528001
-528.956295,149,0.554
-1238.966019,189,0.587004
-567.762941,119,0.613
-413.634333,98,0.633
-815.074266,306,0.692999
-277.279762,396,0.763
-596.502583,113,0.783
-914.648275,358,0.849
-785.355788,137,0.872001
-1924.606262,371,0.936999
-983.769991,168,0.964999
291.63047,189,0.996
-503.239459,119,1.016
-358.555638,181,1.048
-214.90143,181,1.078002
-1152.068288,215,1.113999
-545.872406,106,1.131999
-326.74436,92,1.147
-610.282633,156,1.174999
-796.82314,119,1.196003
-1368.487887,220,1.239002
-222.497371,81,1.254003
-261.72782,125,1.275999
-409.920577,89,1.293
-892.599222,130,1.317002
-873.545794,283,1.367999
-987.883799,326,1.424002
-201.443548,105,1.443002
-1259.535883,185,1.479003
-363.179636,186,1.510999
-399.235346,130,1.535002
-808.790656,116,1.556999
-406.026325,112,1.575999
-723.362492,154,1.601999
-984.873579,167,1.630999
-198.930108,95,1.651001
-261.800076,136,1.676003
-231.154729,108,1.696003
-544.281203,89,1.715
-1299.451609,278,1.768
-1370.43179,247,1.811
-1149.730964,240,5.171999
-205.955636,369,7.86172
-774.430012,211,9.408719
-837.248415,182,10.766721
-171.607303,273,12.88272
-593.590194,123,13.852722
-239.693864,141,14.943722
-316.653231,132,15.987722
-418.288268,179,17.31272
-583.128659,251,19.13172
-354.952606,116,19.969718
-288.586192,174,21.214719
-212.103699,132,22.202722
-504.719362,122,23.158721
-509.874689,111,23.974719
-231.174504,192,25.350718
576.006113,203,26.798719
321.274734,117,27.658718
-579.645178,174,28.872719
-19.509087,121,29.713722
-291.102733,92,30.359719
-310.604948,115,31.175719
-171.326128,199,32.589719
-153.178063,239,34.421722
-185.258244,208,36.040721
-434.452357,144,37.163721
-247.655176,154,38.357719
65.508253,146,39.47472
-545.414443,152,40.557719
-701.492422,154,41.647718
-687.860148,146,42.723719
-421.971125,131,43.655718
-860.998363,96,44.35472
-515.520749,107,45.146719
-705.725002,195,46.615718
-698.950274,155,47.791718
-1206.256532,278,49.876722
-773.286786,159,51.058718
202.471347,190,52.434719
-1257.549662,362,55.107729
-574.441424,130,56.049726
-534.993698,93,56.792728
-537.900077,159,58.013726
-295.837175,95,58.753729
246.464956,182,60.145728
-682.683281,120,61.067726
-540.031545,141,62.120726
-412.179103,79,62.694725
-487.996521,131,63.604726
-150.797753,256,65.412726
-1.063057,198,66.827725
-424.711727,89,67.456726
-125.011837,145,68.497729
-549.094397,177,69.792726
-327.526037,267,71.700729
-727.0799,233,73.408726
-220.295386,109,74.164726
-106.054933,153,75.233726
-425.542778,119,76.071726
-970.316126,153,77.131726
-749.456319,197,78.981729
-761.784589,244,80.907729
-338.59661,101,81.722739
-651.475524,182,83.142728
-405.962357,146,84.314729
-262.174502,82,84.943732
-453.848192,106,85.724726
-806.083356,170,86.937726
-393.620476,92,87.606726
-173.257636,167,88.819727
-331.644212,165,90.005727
-266.088907,130,90.991725
-456.709628,104,91.788729
-145.830775,120,92.708738
-326.735429,104,93.495727
-2036.878209,401,96.499726
-1550.670577,396,99.344727
-422.932537,85,99.936726
-388.001943,142,100.948726
-548.619987,108,101.705725
-274.680607,165,102.983729
-341.65846,95,103.722727
-376.221153,84,104.365726
-566.913319,67,104.866729
-953.902273,154,106.077729
-384.768762,81,106.708729
-373.243835,128,107.709729
42.924431,166,108.928726
-282.056879,100,109.640726
123.870716,175,110.866725
-75.107991,173,112.116727
-237.302928,95,112.775726
-278.12087,131,113.745726
172.227001,111,114.577729
-481.213183,103,115.333726
-847.540491,183,116.669727
-635.883636,173,117.983726
-83.794691,137,118.999729
-460.047232,118,119.852727
-793.866341,234,121.572726
190.660072,201,123.033727
-422.582146,144,124.088726
-1323.620691,391,127.10073
-609.75372,183,128.51173
-198.354379,318,130.964729
-2039.173512,330,133.392726
-749.745229,132,134.354726
388.608028,183,135.667726
-1321.754106,224,137.284729
-33.012716,225,138.915725
-231.249479,209,140.402726
